hospital_name,district,state
Chakraborty Multi Speciality Hospital,South Andaman,Andaman and Nicobar Islands
Inhs Dhanvantri,South Andaman,Andaman and Nicobar Islands
Maricar Hospital,South Andaman,Andaman and Nicobar Islands
Pillar Health Centre,South Andaman,Andaman and Nicobar Islands
"G B Pant Hospital, Port Blair",South Andaman,Andaman and Nicobar Islands
"Care Hospital, Banjara",Hyderabad,Andhra Pradesh
Aasha Hospitals,Anantapur,Andhra Pradesh
Abhaya Kidney Care Multispeciality Hospital,Anantapur,Andhra Pradesh
Baby Hospital,Anantapur,Andhra Pradesh
Dr Akbar Eye Hospital And Laser Centre,Anantapur,Andhra Pradesh
Dr.Ysr Memorial Hospitals,Anantapur,Andhra Pradesh
Hrudaya Children Hospital,Anantapur,Andhra Pradesh
"Jeevana Jyothi Hospitals Ltd.,",Anantapur,Andhra Pradesh
K K Nursing Home,Anantapur,Andhra Pradesh
Meda Nursing Home,Anantapur,Andhra Pradesh
Mnr Nursing Home,Anantapur,Andhra Pradesh
Mythri Hospitals,Anantapur,Andhra Pradesh
Padmavathi Hospital,Anantapur,Andhra Pradesh
Pavani Multi Speciality Hospital,Anantapur,Andhra Pradesh
Prasanthi Nursing Home,Anantapur,Andhra Pradesh
Priya Multispeciality Hospital,Anantapur,Andhra Pradesh
Ravitej Nursing Home,Anantapur,Andhra Pradesh
Santhi Nursing Home,Anantapur,Andhra Pradesh
Sri Prakash Eye Hospital,Anantapur,Andhra Pradesh
Sri Sai Balaji Hospital,Anantapur,Andhra Pradesh
Sri Sai Kurpa Nursing Home,Anantapur,Andhra Pradesh
Sri Sai Venkateshwara Surgical Clinic,Anantapur,Andhra Pradesh
Sudhir Surgical Clinic,Anantapur,Andhra Pradesh
Suma Eye Clinic,Anantapur,Andhra Pradesh
Swetha Ent Hospital,Anantapur,Andhra Pradesh
Vaatsalya Hospital(Ananthapur),Anantapur,Andhra Pradesh
Varun Children's Hospital,Anantapur,Andhra Pradesh
Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Anantapur,Andhra Pradesh
Vijaya Nursing Home,Anantapur,Andhra Pradesh
